Cinsiyet,YaşGrubu,Mevcutdurum,KiminleYaşıyorsunuz,GelirDüzeyiAlgınız,GünlükAkıllıTelefonKullanımSüreniz,TelefonuTemelKullanımAmacınız,TelefonuGeceUyandığınızdaKontrolEtmeSıklığınız,PsikolojikDestekAlınmaDurumu,KronikBirRahatsızlığınızVarmı,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,Telefonunuzugüniçindeençokhangiamaçlakullanıyorsunuz,MaviIşıkKullanımı,Akıllıtelefonbildirimlerinizgeceuyurkenaçıkmıduruyor,Güniçindeteknolojikcihazlardantelefonbilgisayarvb.tamamenuzakk,a1,a2,a3,a4,a5,a6,akilliTelefonOlcek,uykuKalitesiOlcek
Erkek,46-66,Çalışan,Çekirdek Aile,Orta,4-6 Saat,İş/Eğitim,Sıksık,Hayır,Hayır,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,Sosyal Medya ve Eğlence,Hayır,"Evet, sesli/titreşimde","Hayır, hiç yok",3.0,1.0,1.0,1.0,1.0,1.0,38.0,8.0
Kadın,18-25,Öğrenci,Çekirdek Aile,Orta,6+ Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,Sosyal Medya ve Eğlence,Hayır,"Evet, sesli/titreşimde",Nadiren,2.0,3.0,2.0,1.0,1.0,2.0,41.0,11.0
Kadın,18-25,Öğrenci,Yalnız,Orta,6+ Saat,İş/Eğitim,Nadiren,Hayır,Evet,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,Sosyal Medya ve Eğlence,Evet,"Evet, sesli/titreşimde","Evet, düzenli olarak",1.0,2.0,2.0,1.0,1.0,2.0,38.0,9.0
Kadın,18-25,Öğrenci,Yalnız,Orta,6+ Saat,Eğlence/Sosyal Medya,Nadiren,Evet,Evet,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda","Evet, düzenli olarak",1.0,2.0,2.0,3.0,2.0,3.0,40.0,13.0
Erkek,26-45,Çalışan,Çekirdek Aile,Orta,2-4 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,Haber okuma ve bilgi edinme,Evet,"Evet, sesli/titreşimde",Nadiren,3.0,1.0,1.0,2.0,1.0,1.0,35.0,9.0
Erkek,46-66,Emekli,Geniş Aile,Orta,4-6 Saat,İş/Eğitim,Nadiren,Hayır,Evet,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,Haber okuma ve bilgi edinme,Hayır,"Evet, sesli/titreşimde",Nadiren,2.0,2.0,1.0,2.0,2.0,1.0,36.0,10.0
Kadın,26-45,Çalışan,Çekirdek Aile,Orta,4-6 Saat,Haberleşme,Nadiren,Hayır,Hayır,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,Haber okuma ve bilgi edinme,Hayır,"Evet, sesli/titreşimde",Nadiren,2.0,1.0,2.0,3.0,3.0,3.0,42.0,14.0
Kadın,18-25,Öğrenci,Çekirdek Aile,Orta,2-4 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,Sosyal Medya ve Eğlence,Evet,"Hayır, tamamen sessizde veya uçak modunda","Hayır, hiç yok",3.0,3.0,1.0,2.0,2.0,3.0,38.0,14.0
Erkek,18-25,Öğrenci,Çekirdek Aile,Orta,6+ Saat,Eğlence/Sosyal Medya,Hiçbir Zaman,Hayır,Hayır,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda",Nadiren,3.0,3.0,2.0,3.0,2.0,1.0,41.0,14.0
Kadın,18-25,Öğrenci,Bakımevi/Yurt,Düşük,2-4 Saat,Eğlence/Sosyal Medya,Sıksık,Hayır,Evet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda","Hayır, hiç yok",2.0,2.0,1.0,1.0,1.0,1.0,20.0,8.0
